uhhidfs,uhhid,j1,j10,j11,j12,j13,j14,j15,j16,j17,j18,j19,j110,j111,j112,j113,j114,j115,j1_other,j2_1,j2_2,j2_3,j2_4,j2_5,j2_6,j2_7,j2_8,j2_9,j2_10,j2_11,j2_12,j2_13,j2_14
48,1000310,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,1000990,2 15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,heavy rains,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2000599,1 2 6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,2,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
51,2000386,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,2000387,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,2000321,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,2000607,2 9 11,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA
55,2000463,1 11 6 8,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,NA,3,NA,NA,NA,NA,3,NA,4,NA,NA,3,NA,NA,NA
56,2000462,8 9 5 2,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,NA,NA,2,NA,NA,3,NA,NA,3,2,NA,NA,NA,NA,NA
57,2000473,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1000341,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
59,1000374,6 10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA
60,2000480,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,2000384,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
62,2000385,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
63,2000348,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,2000346,2 11 6,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA
65,2000213,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Crop failure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,2000214,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,3001051,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,3001052,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,3001053,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,3001049,1 11,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
71,3001015,11 1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
72,3001014,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
73,3001016,11 8 6,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,3,NA,NA,NA
74,3001050,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
75,1001993,2 6 1 8,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,NA,3,3,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA
76,3000937,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,3000938,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,3000941,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
79,3000104,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,1001923,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
81,1001924,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,3000067,2 6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
83,3000068,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,3000232,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
