uhhidfs,uhhidp,c5_1,c5_2,c5_3,c5_4,c5_5,c5_6,c5_7,c5_8,c5_9,c5_10,c5_11,c5_12,c5_14,c5_15,c5_16,c6_1,c6_2,c6_3,c6_4,c6_5,c6_6,c6_7,c6_8,c6_9,c6_10,c6_11,c6_12,c6_13,c6_14,c6_15,c6_16,c6_17,c6_18,c7,c8,c8b
908,1001709,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0.06,0.05,1
2194,1001143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3,0,1,1,4,0.25,0,1
890,1002989,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,7,1
2193,1000385,4,1,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,6,3,4,3,5,2.5,2,1
2162,1001380,4,1,0,1,0,1,3,0,0,1,1,0,2,1,0,1,1,0,0,2,1,0,0,0,0,0,0,1,3,1,1,2,8,10,5,1
3231,1002909,5,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,8,1,1
2891,1002071,5,1,0,0,0,1,0,0,0,0,0,0,2,2,0,0,1,0,0,2,1,1,0,0,0,0,0,0,4,2,2,3,4,8,0,1
2781,1000748,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,2,0.188,0,1
2203,1001992,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,1.5,1
2186,1001136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,7,4,0.25,0,1
2424,1000004,1,0,0,0,0,1,4,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,1,0,3,3,0.22,0,1
2792,1001690,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,3,2,2,1.5,1
3244,1001972,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,3,2,3,2.5,1
1385,1001730,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,1,1,2,3,0.08,0,2
2790,1001705,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,5,4,1
2207,1001244,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,5,5,0.2,0.1,1
2426,1000009,4,1,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,4,0.22,0.01,1
1392,1002901,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,4,3.95,1
889,1002990,6,1,0,1,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2,1,1,1,2,4,3.5,1
374,1000889,2,1,0,1,0,0,1,0,0,0,0,0,1,1,0,2,1,0,0,0,1,1,0,0,1,0,0,2,4,1,2,1,3,1,1,1
2782,1000719,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0.0187,0,1
1600,1001134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,8,8,0,0,0,8,8,0,3,83,2,2,0,2,0.4,0.25,1
