uhhidfs,uhhidp,g2_1,g2_2,g2_3,g2_4,g2_5,g2_6,g2_7,g2_8,g2_9,g2_10,g2_11,g2_12,g2_13,g2_14,g2_15,g2_16,g2_17,g2_18
86,3000231,4,3,0,1,3,4,0,6,0,0,0,4,0,1,0,0,0,2
87,1002237,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
88,1002279,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
89,1000162,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,3000095,4,1,0,0,0,7,0,4,2,0,0,3,0,0,0,0,0,0
91,3000093,0,0,0,0,2,0,0,3,0,0,0,3,0,0,0,0,2,0
92,3001064,1,0,0,0,2,0,0,2,0,0,0,1,2,0,0,0,0,0
93,3001065,2,2,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0
94,3001026,3,0,0,0,3,0,0,3,2,0,1,2,0,0,0,0,0,0
95,3000336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3000337,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,3000340,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0
98,3000339,2,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
99,3000338,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
100,3000334,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
101,3000063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,3000319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,3000066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,3000064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,3000065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,3000326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,3000325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,3000321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3000323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,3000322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,3000324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0
112,3000320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,3000332,7,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0
114,3000330,7,0,0,0,0,0,0,3,3,0,2,3,0,0,0,0,0,0
115,3000329,2,0,0,0,0,0,0,2,2,2,3,2,0,0,0,0,0,0
116,3000327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,3000328,0,0,0,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0
118,4000118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,4000119,5,0,0,3,0,0,0,7,0,0,0,0,0,2,0,0,5,0
120,4000120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,4000121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,4000122,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,4000123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,4000124,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
